['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 4198, 0.9120197, 391, 0, 421, 23]
['Car', 3650, 0.92097485, 394, 0, 415, 11]
['Car', 4178, 0.9258058, 421, 0, 446, 14]
['Car', 4143, 0.92467785, 358, 40, 388, 66]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 4832, 0.92565745, 446, 17, 472, 38]
['Truck', 5325, 0.94837713, 413, 80, 449, 118]
['Car', 4550, 0.9376623, 395, 0, 415, 14]
['Van', 5125, 0.93988395, 385, 208, 467, 304]
['Car', 5192, 0.92563564, 399, 5, 422, 24]
['Car', 4909, 0.91028285, 454, 29, 479, 52]
['Car', 4977, 0.92935324, 482, 82, 532, 124]
['Car', 5143, 0.91346914, 397, 0, 418, 18]
['Car', 4630, 0.92465204, 397, 7, 423, 32]
['Car', 5249, 0.9162367, 397, 0, 417, 17]
['Car', 4751, 0.9351282, 361, 4, 387, 29]
['Car', 4898, 0.92661333, 463, 43, 494, 66]
['Truck', 5337, 0.8851002, 364, 10, 386, 31]
['Car', 4952, 0.93046594, 446, 25, 469, 46]
['Car', 5026, 0.9142408, 449, 30, 474, 54]
['Car', 5073, 0.92559946, 409, 135, 471, 205]
['Van', 4858, 0.9247429, 393, 0, 416, 19]
['Truck', 5349, 0.93727064, 0, 458, 174, 720]
['Car', 5010, 0.9244614, 449, 29, 474, 52]
['Car', 5091, 0.92891276, 394, 0, 413, 12]
['Car', 4823, 0.9126232, 461, 44, 490, 68]
['Van', 4669, 0.915576, 393, 0, 412, 12]
['Car', 5127, 0.9235541, 384, 214, 467, 310]
['Van', 4731, 0.86746335, 363, 0, 385, 19]
['Car', 4514, 0.9228826, 431, 10, 458, 35]
['Car', 5189, 0.9237271, 421, 0, 443, 16]
['Car', 4822, 0.92520154, 461, 44, 490, 68]
['Car', 5093, 0.9294041, 464, 42, 490, 67]
['Car', 4759, 0.92552716, 433, 1, 455, 18]
['Truck', 4932, 0.8908339, 476, 74, 519, 114]
['Car', 4628, 0.9178916, 397, 8, 423, 32]
['Motorbike', 4768, 0.70503384, 434, 3, 457, 20]
['Car', 4806, 0.9302238, 462, 55, 500, 91]
['Car', 4838, 0.92449677, 393, 0, 414, 12]
['Car', 4677, 0.9362262, 393, 0, 413, 12]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 5984, 0.9202002, 477, 60, 502, 90]
['Car', 5638, 0.9217034, 360, 11, 385, 36]
['Car', 6067, 0.9321388, 488, 73, 518, 107]
['Car', 5443, 0.9216321, 401, 24, 428, 49]
['Car', 5509, 0.9215579, 403, 13, 423, 29]
['Car', 6273, 0.9065785, 359, 22, 387, 47]
['Van', 5871, 0.82216567, 426, 0, 450, 18]
['Car', 5839, 0.9333781, 448, 24, 472, 46]
['Car', 5708, 0.92602104, 356, 29, 385, 52]
['Car', 5718, 0.92540884, 395, 3, 429, 51]
['Car', 5583, 0.9300174, 394, 0, 419, 17]
['Car', 5513, 0.929074, 369, 1, 389, 18]
['Car', 5750, 0.9364609, 395, 6, 431, 54]
['Car', 5477, 0.92396635, 439, 12, 462, 35]
['Van', 6173, 0.92245954, 363, 9, 384, 27]
['Car', 5414, 0.94104546, 396, 0, 418, 14]
['Van', 5788, 0.9467767, 437, 6, 460, 28]
['Car', 6085, 0.93396634, 391, 0, 412, 18]
['Car', 6011, 0.9299217, 482, 65, 515, 100]
['Car', 5686, 0.92339, 394, 0, 428, 44]
['Van', 6059, 0.9030216, 392, 5, 416, 24]
['Car', 5959, 0.92781055, 437, 6, 458, 24]
['Car', 5918, 0.92931294, 462, 44, 487, 70]
['Car', 6118, 0.9172586, 392, 2, 412, 23]
['Car', 5534, 0.92978567, 406, 45, 436, 75]
['Car', 6004, 0.9226514, 376, 1, 402, 22]
['Car', 5962, 0.9300307, 438, 7, 458, 25]
['Car', 6199, 0.92911, 396, 5, 417, 23]
['Car', 6273, 0.9244579, 359, 22, 387, 47]
['Car', 6044, 0.9262103, 304, 397, 438, 584]
['Truck', 5865, 0.9282603, 906, 402, 1127, 719]
['Car', 5642, 0.91628104, 360, 12, 385, 38]
['Car', 6186, 0.9305527, 396, 10, 418, 34]
['Car', 5949, 0.9363584, 436, 5, 456, 25]
['Car', 5415, 0.92953765, 396, 0, 417, 14]
['Car', 5577, 0.92888296, 405, 36, 435, 60]
['Car', 6233, 0.92996347, 363, 12, 385, 29]
['Car', 5914, 0.9299546, 462, 44, 487, 70]
['Car', 5642, 0.9149175, 360, 12, 385, 38]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 6628, 0.9291637, 387, 0, 425, 38]
['Truck', 6794, 0.90176105, 451, 64, 487, 102]
['Car', 6932, 0.80682516, 590, 475, 732, 720]
['Car', 6697, 0.807652, 453, 39, 480, 58]
['Car', 6501, 0.9218278, 389, 0, 427, 40]
['Car', 6874, 0.92712045, 411, 122, 459, 177]
['Car', 6377, 0.92423743, 429, 2, 454, 25]
['Car', 6991, 0.9246601, 420, 0, 440, 11]
['Car', 7047, 0.925206, 569, 203, 638, 271]
['Van', 6756, 0.7372764, 551, 478, 690, 718]
['Car', 7126, 0.9359476, 367, 4, 390, 23]
['Car', 6600, 0.91374695, 502, 111, 550, 155]
['Car', 6399, 0.920946, 431, 5, 457, 29]
['Van', 6370, 0.85186064, 352, 72, 392, 115]
['Car', 6345, 0.92924976, 355, 56, 391, 91]
['Truck', 6333, 0.93422157, 413, 64, 447, 100]
['Car', 6586, 0.90924984, 388, 0, 426, 24]
['Car', 6851, 0.93220013, 436, 14, 460, 37]
['Van', 6495, 0.9434277, 389, 0, 426, 39]
['Car', 6448, 0.91964346, 390, 0, 421, 25]
['Car', 6544, 0.92222244, 500, 111, 551, 154]
['Van', 6382, 0.74358577, 159, 484, 367, 720]
['Truck', 6909, 0.833222, 419, 0, 438, 9]
['Car', 6426, 0.93750435, 391, 0, 418, 20]
['Car', 6499, 0.6982217, 0, 474, 174, 720]
['Van', 6963, 0.7065696, 0, 498, 225, 720]
['Car', 6460, 0.919802, 371, 263, 454, 371]
['Car', 7055, 0.92478967, 424, 17, 450, 41]
['Car', 7133, 0.9364301, 397, 1, 417, 16]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 7659, 0.9140493, 429, 0, 451, 18]
['Car', 7950, 0.91907257, 437, 8, 459, 27]
['Car', 7748, 0.9322851, 405, 71, 443, 114]
['Car', 7409, 0.9132733, 363, 2, 382, 19]
['Car', 8019, 0.92873055, 94, 608, 285, 720]
['Car', 7643, 0.9386688, 351, 40, 391, 85]
['Car', 7383, 0.92881024, 364, 13, 384, 31]
['Car', 7926, 0.92795825, 428, 0, 450, 15]
['Car', 7671, 0.91804034, 433, 5, 455, 24]
['Car', 7446, 0.9192562, 400, 9, 423, 30]
['Car', 7948, 0.93332213, 436, 6, 459, 26]
['Truck', 7724, 0.87073964, 361, 13, 383, 32]
['Car', 8012, 0.8550974, 388, 0, 420, 40]
['Bus', 7320, 0.82464385, 420, 16, 442, 41]
['Car', 7883, 0.9244458, 408, 42, 439, 76]
['Car', 7385, 0.9283269, 363, 16, 383, 33]
['Car', 7609, 0.92396355, 354, 14, 384, 42]
['Van', 7766, 0.6830302, 0, 451, 184, 719]
['Car', 8032, 0.92978257, 405, 36, 445, 90]
['Car', 7615, 0.92096853, 354, 19, 386, 49]
['Car', 7448, 0.9223366, 363, 0, 381, 18]
['Car', 7844, 0.8783777, 401, 17, 426, 43]
['Car', 7785, 0.9200338, 396, 0, 416, 12]
['Car', 7655, 0.9272508, 429, 0, 449, 16]
['Car', 7559, 0.912061, 326, 286, 420, 397]
['Car', 7523, 0.91009456, 363, 0, 385, 20]
['Car', 8074, 0.92292595, 393, 11, 420, 33]
['Car', 7586, 0.9223539, 397, 3, 419, 22]
['Car', 8072, 0.92378896, 393, 9, 419, 32]
['Car', 7431, 0.92615765, 362, 10, 384, 31]
['Car', 7933, 0.9341138, 394, 0, 417, 18]
['Car', 7285, 0.92133665, 391, 0, 410, 12]
['Car', 7348, 0.91270024, 790, 607, 1038, 720]
['Car', 7912, 0.921696, 424, 0, 445, 9]
['Car', 7970, 0.9238569, 432, 2, 454, 21]
['Car', 7267, 0.92564625, 363, 0, 382, 17]
['Car', 7204, 0.9242377, 360, 87, 400, 129]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 8809, 0.934045, 392, 1, 414, 17]
['Car', 8905, 0.93273664, 392, 0, 414, 10]
